like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
-35.12,0.3718,0.3223,0.4946,0.0004418,29.06,0.1494,0.0002435,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003271,1.283,12.71,4.0
-35.66,0.435,0.6084,0.4424,0.02899,27.97,5.703,0.6772,0.0719,0.00736,0.000743,7.457e-05,0.0,0.0,0.0,1e-07,0.0003445,0.03056,0.389,0.0
-25.7,0.3545,0.4587,0.4934,0.00748,23.62,0.3218,0.002039,1.09e-05,6e-08,0.0,0.0,0.0,0.0,0.0,2.456e-05,0.0892,3.525,10.555,1.0
-44.22,0.4595,0.332,0.4082,0.01059,39.62,8.94,0.663,0.03815,0.001999,0.0001004,4.95e-06,0.0,0.0,0.0,0.0,0.0,1.496e-05,0.005257,2.0
-31.77,0.3857,0.367,0.499,0.02383,27.58,0.3188,0.001368,4.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.00208,0.482,4.418,3.0
-43.16,0.3704,0.395,0.3674,0.006435,38.88,5.766,0.344,0.01672,0.0007553,3.3e-05,1.43e-06,0.0,0.0,0.0,0.0,1.6e-06,0.002367,0.1768,4.0
-41.25,0.497,0.579,0.3662,0.01782,26.11,15.4,5.11,1.501,0.424,0.1179,0.0326,0.0,0.0,0.0,0.0,3e-07,0.0001083,0.004852,0.0
-19.58,0.3545,0.5063,0.4934,0.01528,22.5,0.4253,0.004074,3.374e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,7.033e-05,0.1121,2.982,7.668,1.0
-42.2,0.499,0.535,0.3608,0.01494,26.75,16.66,5.504,1.587,0.437,0.1182,0.0317,0.0,0.0,0.0,0.0,6e-08,3.4e-05,0.002241,2.0
-29.62,0.3318,0.4287,0.4321,0.02435,26.14,0.4998,0.004177,2.9e-05,2e-07,0.0,0.0,0.0,0.0,0.0,6.6e-07,0.00777,0.7437,4.49,3.0
-44.94,0.4531,0.4534,0.311,0.00438,27.95,20.94,7.22,2.1,0.5747,0.1534,0.0405,0.0,0.0,0.0,0.0,0.0,1.67e-06,0.0002947,4.0
-36.88,0.4045,0.698,0.3726,0.02242,26.69,9.05,1.949,0.3838,0.07355,0.013954,0.00264,0.0,0.0,0.0,2e-07,0.0002296,0.01602,0.2062,0.0
-19.58,0.3545,0.5063,0.4934,0.01528,22.5,0.4253,0.004074,3.374e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,7.033e-05,0.1121,2.982,7.668,1.0
-42.97,0.48,0.47,0.309,0.02257,23.48,18.6,7.008,2.244,0.6787,0.2006,0.0586,0.0,0.0,0.0,0.0,0.0,4e-07,6.67e-05,2.0
-41.44,0.428,0.4287,0.361,0.01793,32.8,11.44,1.741,0.2205,0.02617,0.00302,0.0003436,0.0,0.0,0.0,0.0,6e-08,6.56e-05,0.00722,3.0
-42.97,0.4565,0.4246,0.4436,0.002926,38.06,7.17,0.5845,0.03952,0.002504,0.000154,9.36e-06,0.0,0.0,0.0,0.0,2.8e-06,0.002853,0.179,4.0
-37.53,0.4045,0.6323,0.3726,0.02242,28.02,8.9,1.688,0.2883,0.04758,0.007755,0.001258,0.0,0.0,0.0,0.0,8.14e-05,0.00903,0.1548,0.0
-34.94,0.4355,0.681,0.4336,0.02983,26.33,6.51,1.008,0.1421,0.01945,0.002638,0.0003564,0.0,0.0,0.0,5.4e-07,0.000622,0.03592,0.3667,1.0
-45.62,0.48,0.3726,0.309,0.009995,25.72,23.02,7.766,2.102,0.5254,0.1268,0.03004,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-06,2.0
-39.62,0.4397,0.4807,0.4321,0.01907,33.06,6.324,0.587,0.04654,0.003494,0.0002563,1.86e-05,0.0,0.0,0.0,0.0,1.46e-05,0.005703,0.1901,3.0
-38.8,0.4163,0.472,0.453,0.0168,33.1,3.518,0.1786,0.00771,0.0003147,1.26e-05,5e-07,0.0,0.0,0.0,0.0,0.0001765,0.0441,0.896,4.0
-38.7,0.4272,0.636,0.3726,0.0185,27.92,10.8,2.504,0.523,0.10565,0.02107,0.00419,0.0,0.0,0.0,0.0,3.33e-05,0.00434,0.08844,0.0
-43.25,0.4792,0.459,0.39,0.003195,33.34,14.93,3.113,0.549,0.0913,0.01481,0.002375,0.0,0.0,0.0,0.0,6e-08,9.495e-05,0.00932,1.0
-43.38,0.42,0.551,0.2494,0.02158,20.98,18.62,8.95,3.777,1.526,0.6064,0.239,0.0,0.0,0.0,0.0,0.0,1.13e-06,9.37e-05,2.0
-32.38,0.3318,0.2844,0.4321,0.02435,28.03,0.09155,7.99e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000262,0.2815,4.67,3.0
-27.0,0.3147,0.4966,0.4526,0.00212,21.83,0.294,0.001974,1.14e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0002033,0.2874,6.25,12.55,4.0
-39.9,0.455,0.636,0.359,0.0185,26.4,13.4,4.08,1.118,0.2964,0.07764,0.02025,0.0,0.0,0.0,0.0,4.9e-06,0.0008397,0.02243,0.0
-37.12,0.3843,0.5786,0.4143,0.01268,30.72,4.863,0.4326,0.0341,0.00258,0.0001923,1.425e-05,0.0,0.0,0.0,3.6e-07,0.001121,0.10443,1.261,1.0
-43.38,0.42,0.551,0.2494,0.02158,20.98,18.62,8.95,3.777,1.526,0.6064,0.239,0.0,0.0,0.0,0.0,0.0,1.13e-06,9.37e-05,2.0
-27.16,0.3613,0.5005,0.4756,0.02176,24.94,0.731,0.010765,0.0001366,1.67e-06,0.0,0.0,0.0,0.0,0.0,9.6e-06,0.02686,1.199,5.04,3.0
-27.8,0.3152,0.4246,0.4263,0.01101,25.39,0.3372,0.001938,9.24e-06,6e-08,0.0,0.0,0.0,0.0,0.0,2.9e-06,0.0278,2.002,8.86,4.0
-39.38,0.5,0.684,0.359,0.02876,22.84,13.6,5.086,1.731,0.573,0.1877,0.0613,0.0,0.0,0.0,0.0,1.97e-06,0.000272,0.00659,0.0
-29.23,0.38,0.5063,0.4934,0.01528,26.36,0.923,0.01639,0.0002513,3.64e-06,6e-08,0.0,0.0,0.0,0.0,8.46e-06,0.025,1.231,5.863,1.0
-45.53,0.341,0.3323,0.3208,0.001317,42.9,7.117,0.3892,0.0165,0.000637,2.36e-05,8.3e-07,0.0,0.0,0.0,0.0,0.0,0.00011486,0.0295,2.0
-42.84,0.473,0.627,0.2812,0.02138,20.64,17.56,8.875,4.03,1.769,0.766,0.3303,0.0,0.0,0.0,0.0,0.0,7.33e-06,0.000347,3.0
-29.34,0.3027,0.4292,0.4587,0.0007377,17.7,0.06665,0.00010973,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0002371,0.554,10.31,12.164,4.0
-44.25,0.4507,0.674,0.1686,0.02861,12.875,15.39,11.445,7.74,5.08,3.297,2.135,0.0,0.0,0.0,0.0,0.0,6e-08,2.26e-06,0.0
-13.516,0.3545,0.69,0.4934,0.01528,21.31,1.034,0.03165,0.0008836,2.396e-05,6.6e-07,0.0,0.0,0.0,0.0,0.001515,0.3237,3.443,6.61,1.0
-43.66,0.4314,0.551,0.2494,0.02158,20.38,18.84,9.45,4.16,1.754,0.7266,0.2986,0.0,0.0,0.0,0.0,0.0,7e-07,6.133e-05,2.0
-37.5,0.3608,0.5054,0.4111,0.010414,32.1,2.992,0.1412,0.005753,0.0002229,8.46e-06,3e-07,0.0,0.0,0.0,2e-07,0.001291,0.1715,2.191,3.0
-32.84,0.3604,0.5415,0.449,0.0068,28.81,1.73,0.0556,0.001563,4.2e-05,1.13e-06,0.0,0.0,0.0,0.0,7.45e-06,0.01839,0.988,5.973,4.0
-40.62,0.4414,0.6445,0.359,0.01022,27.9,13.71,4.074,1.092,0.2834,0.0727,0.01857,0.0,0.0,0.0,0.0,1.276e-05,0.001972,0.0487,0.0
-42.03,0.3545,0.69,0.2373,0.015495,23.06,16.58,7.527,3.115,1.254,0.4995,0.1984,0.0,0.0,0.0,0.0,1e-06,0.0001564,0.00445,1.0
-48.56,0.4314,0.296,0.2494,0.006454,21.16,29.2,11.39,3.314,0.8647,0.2147,0.05194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-44.38,0.3674,0.3792,0.315,0.0009274,38.16,12.36,1.541,0.1548,0.01439,0.001293,0.00011414,0.0,0.0,0.0,0.0,0.0,3.88e-05,0.00811,3.0
-19.31,0.3027,0.5586,0.4348,0.007717,21.2,0.4373,0.004936,4.905e-05,5e-07,0.0,0.0,0.0,0.0,0.0,0.0005817,0.3567,5.367,9.73,4.0
-41.72,0.5,0.491,0.359,0.02106,26.47,16.2,4.9,1.2705,0.3127,0.0753,0.01796,0.0,0.0,0.0,0.0,0.0,8.34e-06,0.000804,0.0
-13.516,0.3545,0.69,0.4934,0.01528,21.31,1.034,0.03165,0.0008836,2.396e-05,6.6e-07,0.0,0.0,0.0,0.0,0.001515,0.3237,3.443,6.61,1.0
-40.47,0.4314,0.551,0.4094,0.00552,32.88,9.12,1.369,0.1805,0.0228,0.002829,0.0003486,0.0,0.0,0.0,0.0,4.75e-05,0.01055,0.2737,2.0
-41.25,0.4045,0.3953,0.4604,0.00406,37.0,2.07,0.0466,0.000855,1.46e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0001296,0.07275,2.041,3.0
-40.03,0.4192,0.687,0.3367,0.01361,26.5,13.45,4.3,1.253,0.3547,0.0994,0.02779,0.0,0.0,0.0,0.0,2.104e-05,0.002396,0.04883,4.0
-41.2,0.4944,0.525,0.344,0.02577,24.56,15.85,5.344,1.566,0.4382,0.12024,0.0327,0.0,0.0,0.0,0.0,0.0,9.3e-06,0.000693,0.0
-13.516,0.3545,0.69,0.4934,0.01528,21.31,1.034,0.03165,0.0008836,2.396e-05,6.6e-07,0.0,0.0,0.0,0.0,0.001515,0.3237,3.443,6.61,1.0
-31.08,0.3337,0.551,0.4094,0.02945,26.11,1.63,0.05508,0.001636,4.65e-05,1.3e-06,6e-08,0.0,0.0,0.0,3.8e-06,0.00822,0.411,2.4,2.0
-37.7,0.344,0.3838,0.4048,0.0263,32.25,1.115,0.01505,0.0001642,1.67e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001537,0.06995,1.452,3.0
-40.94,0.5,0.5586,0.4348,0.007717,31.27,11.99,2.52,0.466,0.08264,0.01441,0.002495,0.0,0.0,0.0,0.0,7.75e-06,0.002167,0.07306,4.0
-39.0,0.4724,0.6343,0.359,0.02876,24.48,12.875,4.05,1.147,0.3142,0.085,0.02289,0.0,0.0,0.0,0.0,1.8e-06,0.0003254,0.00913,0.0
-38.62,0.3545,0.69,0.3103,0.01528,27.36,11.08,2.832,0.66,0.1495,0.03357,0.007507,0.0,0.0,0.0,6e-08,9.674e-05,0.00859,0.1377,1.0
-27.77,0.327,0.66,0.4094,0.02945,23.75,1.918,0.0951,0.004272,0.0001861,8.05e-06,3.6e-07,0.0,0.0,0.0,6.545e-05,0.0335,0.746,2.775,2.0
-35.78,0.3848,0.5254,0.4536,0.00983,30.7,2.484,0.105,0.003862,0.0001355,4.65e-06,2e-07,0.0,0.0,0.0,9e-07,0.00404,0.3567,3.314,3.0
-18.39,0.3027,0.5884,0.4348,0.007717,21.11,0.5186,0.007244,8.994e-05,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0009418,0.4153,5.418,9.484,4.0
-43.38,0.4724,0.6343,0.3289,0.00537,25.7,18.25,7.754,2.965,1.097,0.4006,0.1456,0.0,0.0,0.0,0.0,6.6e-07,0.0001589,0.006023,0.0
-31.61,0.3867,0.6846,0.4575,0.01528,26.58,3.371,0.2688,0.01952,0.001378,9.626e-05,6.7e-06,0.0,0.0,0.0,3.546e-05,0.02103,0.607,3.123,1.0
-36.9,0.384,0.575,0.4094,0.01694,30.28,4.926,0.4487,0.03616,0.002798,0.0002133,1.615e-05,0.0,0.0,0.0,2e-07,0.0007477,0.0743,0.944,2.0
-40.3,0.4604,0.4539,0.3623,0.0269,28.89,12.86,2.639,0.4568,0.07446,0.01183,0.001859,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.001972,3.0
-29.67,0.3372,0.4287,0.499,4.137e-05,19.69,0.1009,0.0002259,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00010353,0.334,8.54,13.78,4.0
-39.66,0.4724,0.5825,0.3762,0.02246,27.03,12.805,3.424,0.8115,0.185,0.04153,0.00927,0.0,0.0,0.0,0.0,1.5e-06,0.0004003,0.01407,0.0
