like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,chain
-8.92,0.3147,0.639,0.4333,0.01467,22.22,0.9526,0.02458,0.00061,0.2195,3.098,6.883,1.0
-13.484,0.3137,0.5425,0.4517,0.001099,21.81,0.409,0.004105,0.0005293,0.4006,6.64,12.44,2.0
-7.43,0.342,0.596,0.4924,0.02977,18.75,0.421,0.005417,0.0007277,0.2595,2.863,4.348,3.0
-13.85,0.3455,0.508,0.4558,0.014435,25.62,0.7925,0.01246,1.454e-05,0.03696,1.582,6.582,4.0
-12.836,0.3494,0.483,0.4712,0.01437,24.64,0.5317,0.00559,1.51e-05,0.04715,2.012,7.402,0.0
-17.9,0.3433,0.4612,0.4148,0.01303,30.92,1.511,0.03452,2e-07,0.0025,0.341,3.57,1.0
-5.203,0.3281,0.548,0.4683,0.01602,20.75,0.4055,0.004276,0.0003395,0.2421,3.928,7.35,2.0
-7.43,0.342,0.596,0.4924,0.02977,18.75,0.421,0.005417,0.0007277,0.2595,2.863,4.348,3.0
-9.59,0.3303,0.6787,0.4482,0.01563,22.39,1.237,0.0427,0.0007405,0.2059,2.713,6.273,4.0
-18.39,0.3494,0.525,0.4136,0.0003088,32.06,2.637,0.1132,1.2e-06,0.005615,0.508,4.82,0.0
-12.17,0.3018,0.639,0.4333,0.0017,21.6,0.7153,0.01426,0.00216,0.6,6.543,11.234,1.0
1.128,0.312,0.6875,0.449,0.01709,19.7,0.7383,0.01743,0.00298,0.5044,4.215,6.316,2.0
-10.77,0.342,0.5713,0.465,0.02977,21.66,0.688,0.01215,0.0001055,0.08026,1.624,4.14,3.0
-13.93,0.3088,0.6787,0.3906,0.01166,25.38,2.227,0.12213,0.0001607,0.071,1.486,5.46,4.0
-12.836,0.3494,0.483,0.4712,0.01437,24.64,0.5317,0.00559,1.51e-05,0.04715,2.012,7.402,0.0
-14.58,0.3337,0.639,0.4333,0.0017,26.3,1.817,0.07556,0.0001884,0.10925,2.484,8.9,1.0
8.37,0.3076,0.6875,0.449,0.01709,19.03,0.638,0.01348,0.004112,0.6235,4.656,6.25,2.0
-11.23,0.342,0.444,0.4707,0.0179,23.25,0.297,0.001716,8.8e-06,0.04526,2.172,7.246,3.0
-13.65,0.37,0.547,0.48,0.02629,24.45,1.018,0.02284,1.81e-05,0.02791,0.9717,3.895,4.0
-12.836,0.3494,0.483,0.4712,0.01437,24.64,0.5317,0.00559,1.51e-05,0.04715,2.012,7.402,0.0
-16.58,0.3315,0.639,0.3909,0.01061,28.11,3.307,0.234,1.51e-05,0.01487,0.5757,3.508,1.0
-11.336,0.3652,0.61,0.4883,0.02223,22.89,1.033,0.02719,0.0001599,0.0922,1.785,4.977,2.0
-18.16,0.4045,0.4556,0.4763,0.02103,30.88,1.727,0.04468,6e-08,0.0009165,0.1576,2.014,3.0
-13.94,0.37,0.5195,0.48,0.02629,24.83,0.896,0.01675,9.3e-06,0.02127,0.9033,3.938,4.0
-19.5,0.4714,0.483,0.4712,0.02263,32.44,5.63,0.476,0.0,2.176e-05,0.00746,0.2208,0.0
-13.945,0.3018,0.4783,0.4333,0.0017,22.03,0.2615,0.0015,0.0001267,0.2434,6.125,12.98,1.0
-9.73,0.328,0.677,0.449,0.02867,20.67,1.0,0.03018,0.000679,0.1694,1.984,4.06,2.0
-19.17,0.4045,0.4556,0.468,0.0097,33.28,2.246,0.07007,6e-08,0.000763,0.1583,2.44,3.0
-21.73,0.467,0.2876,0.4927,0.02975,40.03,1.708,0.01978,0.0,6e-08,0.000449,0.0889,4.0
-12.836,0.3494,0.483,0.4712,0.01437,24.64,0.5317,0.00559,1.51e-05,0.04715,2.012,7.402,0.0
-18.81,0.4172,0.639,0.4333,0.006386,30.48,6.73,0.8945,8e-07,0.0014305,0.104,1.19,1.0
8.37,0.3076,0.6875,0.449,0.01709,19.03,0.638,0.01348,0.004112,0.6235,4.656,6.25,2.0
-19.83,0.4045,0.2566,0.498,0.0184,35.03,0.161,0.0001684,0.0,7.8e-06,0.0455,2.607,3.0
-12.3,0.3162,0.5586,0.4258,0.01226,24.28,0.8564,0.01653,8.77e-05,0.0928,2.4,7.47,4.0
-16.2,0.3596,0.329,0.4712,0.01437,28.38,0.1832,0.000385,0.0,0.001652,0.649,6.94,0.0
-14.66,0.3018,0.4163,0.4333,0.0017,21.94,0.1418,0.000389,2.325e-05,0.1404,5.797,13.914,1.0
-14.33,0.3254,0.6875,0.4033,0.01709,25.17,2.479,0.1538,0.0001043,0.04645,1.02,4.02,2.0
-26.03,0.4443,0.1251,0.4702,0.02907,59.66,0.07513,3.93e-06,0.0,0.0,0.0,0.0006514,3.0
-9.914,0.321,0.599,0.439,0.02522,21.7,0.78,0.01613,0.0002174,0.11816,2.023,4.82,4.0
-14.53,0.3655,0.449,0.4758,0.02583,25.67,0.5728,0.005833,1.3e-06,0.01003,0.7686,4.22,0.0
-11.06,0.3018,0.5264,0.4648,0.00883,16.66,0.1326,0.000552,0.002283,1.007,8.66,7.86,1.0
-5.16,0.3076,0.6875,0.4412,0.01049,20.48,0.8105,0.02019,0.003195,0.571,5.03,7.965,2.0
-20.7,0.4143,0.2566,0.498,0.0184,37.25,0.2408,0.0003548,0.0,2.56e-06,0.02129,1.718,3.0
-9.81,0.3188,0.6357,0.4333,0.02055,22.14,0.996,0.02687,0.000378,0.15,2.293,5.457,4.0
-11.02,0.3494,0.3528,0.4915,0.01437,21.97,0.07623,9.37e-05,7e-07,0.02628,2.695,9.6,0.0
-11.72,0.3115,0.5264,0.4832,0.00883,16.16,0.11786,0.0004497,0.00283,1.145,9.016,7.508,1.0
-11.3,0.3242,0.5664,0.442,0.01242,23.55,0.781,0.01433,0.0001456,0.1254,2.787,7.68,2.0
-24.77,0.4082,0.1647,0.4602,0.00852,52.66,0.10223,1.824e-05,0.0,0.0,3.487e-05,0.141,3.0
-21.72,0.388,0.3335,0.3843,0.01924,39.66,4.18,0.1459,0.0,6e-08,0.0003486,0.05545,4.0
-25.53,0.4297,0.1661,0.454,0.01256,56.72,0.3606,0.0002155,0.0,0.0,9e-07,0.01056,0.0
-15.75,0.3464,0.2446,0.481,0.006565,22.86,0.01064,1e-06,0.0,0.00136,1.587,14.45,1.0
-12.01,0.3076,0.6875,0.449,0.0009575,20.62,0.75,0.01717,0.00568,0.9326,7.555,10.984,2.0
-24.08,0.4438,0.2181,0.4456,0.0184,49.28,1.732,0.010414,0.0,0.0,3.5e-06,0.00773,3.0
-9.81,0.3188,0.6357,0.4333,0.02055,22.14,0.996,0.02687,0.000378,0.15,2.293,5.457,4.0
-21.58,0.453,0.3528,0.461,0.01566,39.25,3.846,0.1337,0.0,5e-07,0.0014,0.1409,0.0
-16.22,0.3372,0.2883,0.4678,0.003633,24.03,0.03442,1.34e-05,0.0,0.005707,2.281,14.875,1.0
8.37,0.3076,0.6875,0.449,0.01709,19.03,0.638,0.01348,0.004112,0.6235,4.656,6.25,2.0
-14.6,0.3855,0.6445,0.4795,0.0184,25.55,2.164,0.11096,5.23e-05,0.03458,0.9204,3.92,3.0
-17.08,0.3435,0.2996,0.4492,0.00925,29.64,0.1285,0.0001601,0.0,0.000747,0.568,8.234,4.0
-14.96,0.3586,0.309,0.4785,0.01727,26.52,0.09735,0.0001072,0.0,0.001671,0.751,7.27,0.0
-16.78,0.3372,0.2883,0.4546,0.003633,27.28,0.0626,3.916e-05,0.0,0.001919,1.2295,12.85,1.0
-15.805,0.3486,0.68,0.4102,0.01889,26.3,3.33,0.264,2.67e-05,0.01674,0.5005,2.635,2.0
-19.53,0.4011,0.3523,0.4915,0.004166,34.75,0.6885,0.004826,0.0,0.0004094,0.243,4.984,3.0
-14.92,0.3538,0.354,0.4692,0.0183,26.6,0.2014,0.0005426,6e-08,0.003944,0.856,6.516,4.0
-17.88,0.3494,0.3528,0.44,0.01437,31.12,0.4348,0.002153,0.0,0.0008082,0.334,4.79,0.0
-18.72,0.3018,0.2883,0.4795,0.0002713,10.44,0.001137,6e-08,1.305e-05,0.535,16.25,8.06,1.0
-11.125,0.3384,0.6875,0.449,0.01709,23.02,1.514,0.06274,0.0004828,0.1436,2.104,5.54,2.0
