like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-50.3,0.328,0.4072,0.4204,0.008575,29.67,0.601,0.00506,3.49e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,2e-07,0.00524,0.819,6.98,1.456,6.008,8.9,5.43,1.383,3.0
-60.2,0.4958,0.32,0.3977,0.014656,35.6,13.336,1.57,0.1416,0.01157,0.000905,6.914e-05,0.0,0.0,0.0,0.0,0.0,3e-07,0.0002223,3.6e-07,4.804e-05,0.003925,0.04742,0.4111,4.0
-55.0,0.3286,0.2747,0.4204,0.00696,32.62,0.1265,0.0001242,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001323,0.264,7.0,0.673,5.938,11.66,6.008,0.862,0.0
-59.62,0.3882,0.4617,0.364,0.002665,36.25,9.055,1.059,0.1047,0.00977,0.0008903,8.01e-05,0.0,0.0,0.0,0.0,3.6e-06,0.002499,0.133,0.003725,0.06903,0.787,2.703,6.527,1.0
-56.34,0.3298,0.4143,0.284,0.02861,32.06,9.48,1.185,0.122,0.01174,0.001097,0.000101,0.0,0.0,0.0,0.0,0.0,5.364e-05,0.006058,6.25e-05,0.002048,0.0414,0.2072,0.742,2.0
-44.53,0.3865,0.4546,0.4995,0.01738,27.12,0.704,0.00844,8.53e-05,8.3e-07,0.0,0.0,0.0,0.0,0.0,1.43e-06,0.01109,0.8994,5.387,1.396,4.484,5.613,3.256,0.8423,3.0
-60.2,0.4958,0.32,0.3977,0.014656,35.6,13.336,1.57,0.1416,0.01157,0.000905,6.914e-05,0.0,0.0,0.0,0.0,0.0,3e-07,0.0002223,3.6e-07,4.804e-05,0.003925,0.04742,0.4111,4.0
-54.75,0.3303,0.1298,0.4873,0.009895,7.523,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.363e-05,2.588,16.11,8.2,13.66,0.3367,0.001357,1e-07,0.0
-59.62,0.3882,0.4617,0.364,0.002665,36.25,9.055,1.059,0.1047,0.00977,0.0008903,8.01e-05,0.0,0.0,0.0,0.0,3.6e-06,0.002499,0.133,0.003725,0.06903,0.787,2.703,6.527,1.0
-56.34,0.3298,0.4143,0.284,0.02861,32.06,9.48,1.185,0.122,0.01174,0.001097,0.000101,0.0,0.0,0.0,0.0,0.0,5.364e-05,0.006058,6.25e-05,0.002048,0.0414,0.2072,0.742,2.0
-47.7,0.3865,0.4546,0.4995,0.009384,28.23,0.7627,0.009514,0.0001001,1e-06,0.0,0.0,0.0,0.0,0.0,1.67e-06,0.01355,1.143,7.125,1.861,6.17,8.05,4.816,1.297,3.0
-63.56,0.4463,0.4136,0.2744,0.00742,24.16,23.77,9.86,3.373,1.077,0.334,0.102,0.0,0.0,0.0,0.0,0.0,0.0,9.54e-06,0.0,1.3e-06,9.08e-05,0.001192,0.01425,4.0
-21.4,0.3303,0.368,0.4873,0.02461,17.05,0.03564,2.77e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2e-06,0.09454,3.863,6.3,4.816,5.12,1.202,0.1538,0.00514,0.0
-64.5,0.3882,0.3015,0.364,0.000573,45.1,6.59,0.279,0.00887,0.0002537,6.9e-06,2e-07,0.0,0.0,0.0,0.0,0.0,3.356e-05,0.01567,6.634e-05,0.006042,0.264,1.81,7.29,1.0
-57.44,0.3777,0.5557,0.2502,0.02861,22.7,15.96,6.125,2.066,0.668,0.2124,0.067,0.0,0.0,0.0,0.0,0.0,7.2e-06,0.0004568,4.9e-06,0.00010914,0.001925,0.01058,0.0515,2.0
-62.62,0.4856,0.2861,0.4995,0.01738,43.1,2.443,0.0373,0.0004196,4.23e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.000264,0.0726,0.0005856,0.03415,0.7725,2.953,5.426,3.0
-65.4,0.4885,0.4053,0.1881,0.02411,10.945,20.3,15.55,9.766,5.72,3.244,1.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1e-06,4.0
-56.06,0.323,0.4531,0.2778,0.02594,31.19,10.01,1.478,0.184,0.02159,0.002468,0.0002787,0.0,0.0,0.0,0.0,1e-07,0.0001476,0.0111,0.0001682,0.00409,0.06396,0.279,0.8984,0.0
-59.62,0.3882,0.4617,0.364,0.002665,36.25,9.055,1.059,0.1047,0.00977,0.0008903,8.01e-05,0.0,0.0,0.0,0.0,3.6e-06,0.002499,0.133,0.003725,0.06903,0.787,2.703,6.527,1.0
-57.34,0.3306,0.483,0.2401,0.02528,26.38,15.28,4.316,1.042,0.2384,0.0533,0.011795,0.0,0.0,0.0,0.0,0.0,7.6e-06,0.000752,6.26e-06,0.0001922,0.00435,0.02669,0.1371,2.0
-59.53,0.3862,0.358,0.2925,0.0168,31.58,15.86,2.87,0.4116,0.0543,0.006897,0.000859,0.0,0.0,0.0,0.0,0.0,3e-07,0.0001466,3e-07,2.99e-05,0.001911,0.02115,0.1819,3.0
-64.0,0.431,0.4265,0.2358,0.01325,19.83,23.61,12.23,5.26,2.12,0.83,0.3208,0.0,0.0,0.0,0.0,0.0,0.0,1.13e-06,0.0,1e-07,8.4e-06,0.00011957,0.001618,4.0
-30.53,0.3542,0.4153,0.491,0.02528,22.0,0.1897,0.0006924,2.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.93e-06,0.03235,1.816,5.887,2.54,4.86,2.834,0.8325,0.0864,0.0
-59.62,0.3882,0.4617,0.364,0.002665,36.25,9.055,1.059,0.1047,0.00977,0.0008903,8.01e-05,0.0,0.0,0.0,0.0,3.6e-06,0.002499,0.133,0.003725,0.06903,0.787,2.703,6.527,1.0
-54.25,0.329,0.477,0.354,0.02234,32.2,3.63,0.1975,0.009155,0.000402,1.72e-05,7e-07,0.0,0.0,0.0,0.0,0.00013,0.03174,0.647,0.04752,0.412,1.893,3.213,3.29,2.0
-56.16,0.3142,0.4546,0.249,0.02875,28.8,12.4,2.465,0.4133,0.0653,0.01006,0.001531,0.0,0.0,0.0,0.0,0.0,2.164e-05,0.00215,2.08e-05,0.000633,0.01314,0.0721,0.3093,3.0
-61.06,0.3733,0.4265,0.2358,0.0182,23.69,20.58,7.773,2.44,0.717,0.2048,0.0577,0.0,0.0,0.0,0.0,0.0,6e-08,1.687e-05,6e-08,2.56e-06,0.0001358,0.001503,0.01484,4.0
-19.55,0.3303,0.4058,0.4873,0.02461,17.44,0.0621,9.143e-05,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.956e-05,0.1392,3.941,6.027,4.71,4.91,1.297,0.1985,0.00896,0.0
-54.53,0.3518,0.444,0.424,0.00804,32.3,1.502,0.03156,0.0005565,9.24e-06,1e-07,0.0,0.0,0.0,0.0,1e-07,0.001912,0.3335,4.043,0.5835,3.271,7.99,7.766,3.775,1.0
-54.28,0.329,0.4563,0.354,0.02557,32.34,3.318,0.1578,0.006332,0.0002395,8.8e-06,3e-07,0.0,0.0,0.0,0.0,7.36e-05,0.02292,0.532,0.03464,0.3293,1.608,2.78,2.822,2.0
-56.44,0.431,0.425,0.4995,0.01001,34.16,1.921,0.04675,0.000945,1.79e-05,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0004113,0.12427,2.314,0.2229,1.739,6.06,7.566,4.875,3.0
-58.84,0.4216,0.4253,0.3582,0.011314,34.2,11.93,1.804,0.2264,0.02661,0.00304,0.0003424,0.0,0.0,0.0,0.0,6e-08,8.553e-05,0.00984,0.0001066,0.003572,0.077,0.414,1.653,4.0
-43.0,0.304,0.4343,0.4873,0.0295,11.6,0.01836,1.29e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001008,0.848,6.016,2.793,4.895,2.006,0.1809,0.01236,0.0002139,0.0
-57.47,0.3037,0.4456,0.3018,0.01494,35.06,5.848,0.4417,0.02802,0.001672,9.716e-05,5.6e-06,0.0,0.0,0.0,0.0,8e-06,0.004875,0.2083,0.007423,0.11414,0.9873,2.646,4.582,1.0
-39.4,0.348,0.44,0.463,0.02325,24.86,0.4255,0.003263,2.1e-05,1e-07,0.0,0.0,0.0,0.0,0.0,2.1e-06,0.01616,1.119,5.25,1.65,4.32,4.02,1.794,0.3271,2.0
-42.9,0.3865,0.512,0.4995,0.01738,26.23,0.977,0.01862,0.000307,4.8e-06,6e-08,0.0,0.0,0.0,0.0,8.17e-06,0.02263,1.098,5.285,1.588,4.414,5.3,3.227,0.9565,3.0
-59.25,0.4067,0.3965,0.379,0.01246,37.1,7.742,0.653,0.04486,0.002869,0.0001775,1.08e-05,0.0,0.0,0.0,0.0,2e-07,0.000406,0.04172,0.000613,0.01839,0.3132,1.317,3.676,4.0
-55.38,0.3118,0.4058,0.3445,0.02461,33.84,2.299,0.0646,0.001489,3.2e-05,6.6e-07,0.0,0.0,0.0,0.0,0.0,4.196e-05,0.02266,0.661,0.038,0.419,2.111,3.418,2.941,0.0
-46.38,0.337,0.4153,0.4448,0.00918,27.47,0.441,0.002998,1.68e-05,6e-08,0.0,0.0,0.0,0.0,0.0,8.3e-07,0.013275,1.388,8.375,2.336,7.355,7.992,3.861,0.7466,1.0
-39.4,0.348,0.44,0.463,0.02325,24.86,0.4255,0.003263,2.1e-05,1e-07,0.0,0.0,0.0,0.0,0.0,2.1e-06,0.01616,1.119,5.25,1.65,4.32,4.02,1.794,0.3271,2.0
-43.5,0.3716,0.4834,0.48,0.01852,26.55,0.833,0.01275,0.0001668,2.1e-06,0.0,0.0,0.0,0.0,0.0,3.46e-06,0.01556,0.9595,5.11,1.425,4.234,5.18,3.078,0.855,3.0
-57.38,0.4553,0.4253,0.392,0.0204,33.03,10.35,1.406,0.1586,0.01675,0.001719,0.000174,0.0,0.0,0.0,0.0,6e-08,9.245e-05,0.00956,0.0001121,0.00345,0.06683,0.3296,1.183,4.0
-49.75,0.3848,0.3962,0.4873,0.01372,29.89,0.604,0.00492,3.27e-05,2e-07,0.0,0.0,0.0,0.0,0.0,6e-08,0.002663,0.5283,5.27,0.9404,4.363,7.207,4.688,1.267,0.0
-54.6,0.367,0.4153,0.4448,0.00918,32.62,1.1875,0.01831,0.0002329,2.74e-06,6e-08,0.0,0.0,0.0,0.0,6e-08,0.001239,0.2937,4.02,0.534,3.238,7.98,7.42,3.254,1.0
-57.06,0.4531,0.4563,0.3826,0.0197,31.67,11.32,1.875,0.2622,0.03455,0.004436,0.000563,0.0,0.0,0.0,0.0,1e-07,0.000126,0.0102,0.0001441,0.003721,0.0633,0.2969,1.05,2.0
