like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
15.164,23.7,26.98,20.19,12.98,7.773,4.48,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4973,0.2277,0.1595,0.00801,4.03,24.23,27.0,20.19,12.98,7.773,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.88,27.66,26.62,16.72,9.0,4.5,2.164,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.453,0.2229,0.165,0.008736,5.312,28.19,26.62,16.72,9.0,4.5,2.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.54,31.95,23.55,11.24,4.58,1.729,0.627,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4033,0.2181,0.1707,0.00945,7.656,32.47,23.56,11.24,4.58,1.729,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.312,34.34,16.77,5.25,1.396,0.3435,0.0811,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3538,0.2133,0.1763,0.01018,11.88,34.9,16.78,5.25,1.396,0.3435,0.0811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6655,30.69,7.676,1.217,0.1631,0.02017,0.002392,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3042,0.2085,0.1819,0.010895,19.86,31.22,7.684,1.218,0.1631,0.02017,0.002392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.566,33.88,12.086,2.701,0.5083,0.0881,0.0146,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3455,0.2037,0.1875,0.01161,14.625,34.4,12.09,2.701,0.5083,0.0881,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.9,34.78,17.2,5.27,1.352,0.3186,0.0718,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.395,0.199,0.1931,0.01234,10.3,35.3,17.2,5.27,1.352,0.3186,0.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.71,33.75,21.19,8.125,2.596,0.7607,0.2125,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4446,0.1941,0.1987,0.013054,7.48,34.28,21.19,8.125,2.596,0.7607,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.62,31.83,23.98,10.875,4.09,1.405,0.4597,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4941,0.1893,0.2043,0.01377,5.58,32.34,23.98,10.875,4.09,1.405,0.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.61,34.62,19.67,6.645,1.848,0.4685,0.113,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.456,0.1846,0.2098,0.014496,7.586,35.16,19.69,6.645,1.848,0.4685,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.324,35.16,12.19,2.477,0.4119,0.06226,0.008934,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4065,0.1797,0.2155,0.01521,11.87,35.7,12.195,2.477,0.4119,0.06226,0.008934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.587,29.14,4.74,0.4438,0.03378,0.00233,0.0001522,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.357,0.1749,0.2211,0.01593,19.78,29.67,4.746,0.4438,0.03378,0.00233,0.0001522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.734,15.445,0.7427,0.02014,0.000441,8.7e-06,2e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3074,0.1702,0.2267,0.01665,33.94,15.984,0.7505,0.02026,0.0004423,8.7e-06,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.88,22.22,1.834,0.08417,0.003094,0.0001023,3.2e-06,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3423,0.1653,0.2323,0.01738,26.08,22.75,1.843,0.0843,0.003096,0.0001023,3.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,30.55,4.8,0.4124,0.02818,0.001726,9.96e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3918,0.1605,0.2379,0.0181,17.3,31.08,4.81,0.4124,0.02818,0.001726,9.96e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.61,35.34,8.83,1.182,0.125,0.011795,0.001046,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4414,0.1558,0.2435,0.01881,11.586,35.88,8.836,1.183,0.125,0.011795,0.001046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.305,37.22,13.18,2.451,0.357,0.0462,0.005608,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.491,0.1509,0.2491,0.01953,7.887,37.75,13.19,2.451,0.357,0.0462,0.005608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.28,35.7,8.01,0.923,0.08246,0.006523,0.0004823,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4595,0.1461,0.2546,0.02025,10.914,36.22,8.016,0.923,0.08246,0.006523,0.0004823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5684,27.31,2.512,0.11554,0.004086,0.0001271,3.7e-06,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4097,0.1414,0.2603,0.02098,18.62,27.84,2.52,0.11566,0.004086,0.0001271,3.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.52,13.21,0.3071,0.00345,2.944e-05,2.4e-07,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.36,0.1365,0.2659,0.0217,32.72,13.74,0.3152,0.003572,3.08e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.28,2.223,0.001045,0.0001122,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3105,0.1317,0.2715,0.02242,53.47,2.754,0.006927,8.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26.22,4.934,0.02052,5.12e-05,1.25e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.339,0.127,0.277,0.02313,45.4,5.465,0.0285,6.94e-05,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.76,13.414,0.2394,0.001862,1.025e-05,6e-08,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3887,0.12213,0.2827,0.02385,29.95,13.95,0.2473,0.001982,1.17e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4778,23.42,1.007,0.01865,0.0002499,2.86e-06,6e-08,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4382,0.1173,0.2883,0.02457,18.72,23.95,1.015,0.01877,0.0002513,2.86e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.742,32.2,2.65,0.09064,0.00221,4.566e-05,8.3e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4878,0.1125,0.294,0.0253,11.45,32.72,2.658,0.09076,0.00221,4.566e-05,8.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.238,24.77,0.96,0.01481,0.0001602,1.43e-06,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4626,0.1077,0.2996,0.02602,15.96,25.3,0.968,0.01493,0.0001615,1.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.84,10.125,0.0681,8.905e-05,1e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.413,0.1029,0.3052,0.02673,30.05,10.66,0.0761,0.0002096,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.06,1.395,0.006622,0.0001202,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3633,0.10187,0.3108,0.02745,53.25,1.927,0.001348,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47.84,0.4348,0.007965,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3137,0.1067,0.3164,0.02817,67.06,0.0973,3.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5e-06,1.0
