like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-61.6,0.4077,0.1667,0.4827,0.02419,42.5,0.03098,2.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003421,0.4326,0.997,6.383,4.85,0.463,0.00976,1.0
-58.97,0.3953,0.4197,0.297,0.015015,30.06,16.25,3.762,0.72,0.1289,0.02243,0.003843,0.0,0.0,0.0,0.0,0.0,3.2e-06,0.000618,0.001397,0.02032,0.2068,0.926,2.281,2.0
-53.3,0.3508,0.589,0.3562,0.01794,30.05,6.28,0.747,0.079,0.00804,0.000806,8.03e-05,0.0,0.0,0.0,6e-08,0.0003233,0.03564,0.5283,0.766,2.236,4.11,4.22,2.832,3.0
-59.88,0.3528,0.4617,0.3,0.006462,33.84,12.64,2.21,0.3271,0.04572,0.00623,0.0008388,0.0,0.0,0.0,0.0,2.4e-07,0.0002508,0.01999,0.03876,0.321,1.774,4.652,7.09,4.0
-48.7,0.316,0.2035,0.4036,0.02908,30.19,0.01773,1.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-06,0.03543,2.846,4.207,5.96,1.1,0.03702,0.000362,0.0
-26.52,0.3235,0.5225,0.4827,0.02771,17.05,0.1694,0.0008764,3.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000595,0.3545,3.996,4.68,4.0,1.334,0.1482,0.00853,0.0003042,1.0
-59.3,0.408,0.4197,0.297,0.015015,29.0,17.38,4.457,0.946,0.1876,0.03616,0.006874,0.0,0.0,0.0,0.0,0.0,1.5e-06,0.0003161,0.0007296,0.01153,0.13,0.645,1.762,2.0
-52.34,0.3342,0.548,0.3667,0.01715,30.61,3.984,0.2798,0.01724,0.001017,5.89e-05,3.4e-06,0.0,0.0,0.0,2e-07,0.000915,0.0986,1.227,1.697,3.967,5.23,3.682,1.643,3.0
-55.56,0.3542,0.4634,0.3862,0.01477,33.7,3.443,0.1654,0.006733,0.0002587,9.7e-06,3.6e-07,0.0,0.0,0.0,0.0,0.0001632,0.04504,0.9653,1.439,4.19,6.293,4.49,1.867,4.0
-18.1,0.3218,0.3486,0.4634,0.02289,19.05,0.04276,3.356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,0.03885,2.9,7.227,6.535,2.154,0.156,0.0042,5.51e-05,0.0
-58.12,0.3757,0.3718,0.369,0.02396,36.66,4.83,0.2393,0.00951,0.0003486,1.234e-05,4e-07,0.0,0.0,0.0,0.0,3e-07,0.0006456,0.062,0.1185,0.814,2.836,3.908,2.744,1.0
-58.28,0.4204,0.3435,0.3281,0.02274,32.25,13.664,1.988,0.2266,0.02362,0.002365,0.0002321,0.0,0.0,0.0,0.0,0.0,3e-07,0.000167,0.0004377,0.01007,0.1444,0.759,1.921,2.0
-56.5,0.4312,0.5195,0.3667,0.01715,30.45,11.53,2.262,0.3853,0.0625,0.00995,0.001569,0.0,0.0,0.0,0.0,1.3e-06,0.0005746,0.02629,0.04672,0.2903,1.243,2.748,3.754,3.0
-61.2,0.3813,0.2905,0.4133,0.01947,41.22,1.453,0.0141,0.00010127,6.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.001635,0.2477,0.481,2.926,6.31,4.14,1.1455,4.0
-48.62,0.3218,0.3486,0.4038,0.02289,30.22,0.4058,0.001905,7.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000509,0.2273,3.389,4.383,6.043,2.62,0.4219,0.0331,0.0
-47.9,0.3354,0.5654,0.3887,0.02396,28.16,2.746,0.148,0.007034,0.0003207,1.436e-05,6.6e-07,0.0,0.0,0.0,1.25e-06,0.003284,0.2172,1.773,2.268,3.924,3.64,1.839,0.597,1.0
-60.9,0.4204,0.3435,0.266,0.02274,23.53,21.33,6.633,1.616,0.3604,0.07715,0.01619,0.0,0.0,0.0,0.0,0.0,0.0,7e-07,2.2e-06,9.41e-05,0.002886,0.0324,0.1755,2.0
-63.97,0.4495,0.548,0.1909,0.01715,14.7,19.78,14.37,9.16,5.582,3.344,1.988,0.0,0.0,0.0,0.0,0.0,0.0,7e-07,1.6e-06,2.42e-05,0.0003297,0.002401,0.01108,3.0
-28.92,0.3088,0.672,0.4456,0.00667,20.66,0.744,0.01665,0.0003386,6.7e-06,1e-07,0.0,0.0,0.0,6e-08,0.003305,0.651,5.887,9.19,8.67,4.785,1.201,0.1809,0.01881,4.0
-52.9,0.3218,0.558,0.3257,0.02289,30.11,5.883,0.63,0.0593,0.005352,0.000475,4.184e-05,0.0,0.0,0.0,0.0,0.0001513,0.02173,0.375,0.5557,1.726,3.291,3.39,2.232,0.0
-25.98,0.3235,0.363,0.4827,0.02396,16.17,0.02678,1.63e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07e-05,0.1202,4.42,6.22,5.074,1.139,0.05365,0.000977,8.94e-06,1.0
-61.12,0.4204,0.4788,0.266,0.01308,24.03,20.62,8.57,3.035,1.019,0.334,0.1083,0.0,0.0,0.0,0.0,0.0,5.4e-07,8.25e-05,0.0001836,0.002687,0.03134,0.1779,0.599,2.0
-47.78,0.3342,0.548,0.388,0.02682,28.11,2.518,0.12164,0.005157,0.0002093,8.34e-06,3.6e-07,0.0,0.0,0.0,8e-07,0.00252,0.1869,1.601,2.055,3.562,3.23,1.565,0.4805,3.0
-59.78,0.3918,0.572,0.2795,0.006516,27.0,18.11,6.76,2.234,0.7085,0.2211,0.06854,0.0,0.0,0.0,0.0,2e-07,7.546e-05,0.004044,0.007545,0.05954,0.3716,1.2705,2.809,4.0
